@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute thumb numeric
@attribute index numeric
@attribute middle numeric
@attribute ring numeric
@attribute pinky numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
55,'2020/05/08 16:20:00:648',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
56,'2020/05/08 16:20:00:665',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
57,'2020/05/08 16:20:00:681',1,56.247269,58.269592,74.84803,69.72982,57.939423,1,0
58,'2020/05/08 16:20:00:734',1,55.817898,82.222984,85.090515,78.794907,66.02951,1,0
59,'2020/05/08 16:20:00:749',1,55.799328,82.223549,85.105354,78.798149,66.041527,1,0
60,'2020/05/08 16:20:00:753',1,55.799328,82.223549,85.105354,78.798149,66.041527,1,0
61,'2020/05/08 16:20:00:761',1,55.789169,82.223831,85.112984,78.799622,66.047035,1,0
62,'2020/05/08 16:20:00:764',1,55.774792,82.224121,85.120659,78.801018,66.053085,1,0
63,'2020/05/08 16:20:00:782',1,55.734684,82.224678,85.136101,78.803528,66.06459,1,0
64,'2020/05/08 16:20:00:797',1,55.72448,82.224945,85.143646,78.804665,66.069336,1,0
65,'2020/05/08 16:20:00:817',1,55.712128,82.225769,85.167053,78.807747,66.083427,1,0
66,'2020/05/08 16:20:00:833',1,55.705467,82.226044,85.175102,78.808685,66.087563,1,0
67,'2020/05/08 16:20:00:849',1,55.694893,82.226578,85.191368,78.810394,66.096672,1,0
68,'2020/05/08 16:20:00:865',1,55.69463,82.227104,85.202667,78.811951,66.106956,1,0
69,'2020/05/08 16:20:00:881',1,55.706959,82.227638,85.212715,78.802475,66.119896,1,0
70,'2020/05/08 16:20:00:897',1,55.720528,82.227898,85.218666,78.787956,66.128876,1,0
71,'2020/05/08 16:20:00:917',1,55.719975,82.228668,85.241547,78.79892,66.160774,1,0
72,'2020/05/08 16:20:00:933',1,55.718792,82.228928,85.251076,78.801857,66.172707,1,0
73,'2020/05/08 16:20:00:949',1,55.7215,82.229424,85.269493,78.807205,66.196022,1,0
74,'2020/05/08 16:20:00:965',1,55.723866,82.229904,85.272903,78.811943,66.228912,1,0
75,'2020/05/08 16:20:00:981',1,55.740452,82.230431,85.283768,78.816132,66.266624,1,0
76,'2020/05/08 16:20:00:997',1,55.753017,82.230659,85.287895,78.818039,66.282173,1,0
77,'2020/05/08 16:20:01:017',1,55.771523,82.231392,85.295349,78.474075,66.342201,1,0
78,'2020/05/08 16:20:01:033',1,55.773716,82.231613,85.285156,78.408371,66.36364,1,0
79,'2020/05/08 16:20:01:049',1,55.790554,82.232101,85.202026,78.399849,66.417229,1,0
80,'2020/05/08 16:20:01:065',1,55.804806,81.423271,85.031479,78.313797,66.462128,1,0
81,'2020/05/08 16:20:01:081',1,55.820595,79.82193,84.587654,78.244255,66.500069,1,0
82,'2020/05/08 16:20:01:097',1,55.810726,78.796341,84.442009,78.120781,66.51683,1,0
83,'2020/05/08 16:20:01:118',1,55.73761,77.323563,84.334328,78.467834,66.470345,1,0
84,'2020/05/08 16:20:01:134',1,55.713493,77.217361,84.303055,78.903984,66.41481,1,0
85,'2020/05/08 16:20:01:153',1,55.702091,76.961288,83.695457,79.237068,66.349335,1,0
86,'2020/05/08 16:20:01:165',1,55.704994,76.901794,83.712021,79.246437,66.347984,1,0
87,'2020/05/08 16:20:01:181',1,55.708958,76.842949,84.053978,79.368507,66.367859,1,0
88,'2020/05/08 16:20:01:197',1,55.706867,76.917549,84.422928,79.38797,66.378059,1,0
89,'2020/05/08 16:20:01:217',1,55.762859,77.297882,84.817116,79.734184,66.406204,1,0
90,'2020/05/08 16:20:01:233',1,55.829197,77.392357,84.84697,79.89743,66.415016,1,0
91,'2020/05/08 16:20:01:249',1,56.556828,77.71817,85.127754,80.134468,66.449745,1,0
92,'2020/05/08 16:20:01:265',1,57.801579,78.245331,84.970238,80.322945,66.483772,1,0
93,'2020/05/08 16:20:01:281',1,58.739758,78.643532,84.696579,80.539284,66.518173,1,0
94,'2020/05/08 16:20:01:297',1,59.273888,78.915771,84.562775,80.700218,66.555969,1,0
95,'2020/05/08 16:20:01:321',1,59.911385,79.089386,84.48735,80.810432,66.580208,1,0
96,'2020/05/08 16:20:01:333',1,60.433388,79.360947,84.436577,80.919228,66.509827,1,0
97,'2020/05/08 16:20:01:349',1,60.433388,79.360947,84.436577,80.919228,66.509827,1,0
98,'2020/05/08 16:20:01:365',1,60.790539,79.584755,84.444565,81.011581,66.50264,1,0
99,'2020/05/08 16:20:01:381',1,61.075977,79.708923,84.455437,81.103363,66.465195,1,0
100,'2020/05/08 16:20:01:397',1,61.491673,79.841995,84.480812,81.218521,66.420959,1,0
101,'2020/05/08 16:20:01:417',1,61.760937,79.87249,84.507256,81.31514,66.366859,1,0
102,'2020/05/08 16:20:01:433',1,61.977467,80.020668,84.525658,81.349945,66.34037,1,0
103,'2020/05/08 16:20:01:449',1,62.048725,80.178993,84.534248,81.281342,66.263664,1,0
104,'2020/05/08 16:20:01:465',1,62.120998,80.244873,84.549843,81.057861,66.056953,1,0
105,'2020/05/08 16:20:01:485',1,62.165607,80.298073,84.564178,80.738091,65.715248,1,0
106,'2020/05/08 16:20:01:497',1,62.139236,80.35807,84.577126,80.428589,65.395325,1,0
107,'2020/05/08 16:20:01:517',1,61.996204,80.421822,84.588997,80.3367,65.303337,1,0
108,'2020/05/08 16:20:01:533',1,61.690742,80.483841,84.599846,80.310402,65.268806,1,0
109,'2020/05/08 16:20:01:549',1,61.40881,80.499451,84.604973,80.300606,65.25428,1,0
110,'2020/05/08 16:20:01:565',1,60.739239,80.518265,84.745529,80.331299,65.223862,1,0
111,'2020/05/08 16:20:01:581',1,60.166935,80.54126,84.961845,80.407913,65.250084,1,0
112,'2020/05/08 16:20:01:597',1,59.731152,80.55703,85.102173,80.502258,65.292564,1,0
113,'2020/05/08 16:20:01:617',1,59.443573,80.560936,85.200447,80.666603,65.372055,1,0
114,'2020/05/08 16:20:01:633',1,59.18935,80.537918,85.275017,80.868568,65.491768,1,0
115,'2020/05/08 16:20:01:653',1,59.014854,80.503677,85.382339,81.169441,65.660187,1,0
116,'2020/05/08 16:20:01:665',1,58.961189,80.482346,85.509369,81.320511,65.755409,1,0
117,'2020/05/08 16:20:01:681',1,58.796577,80.449043,86.240067,81.599174,65.967957,1,0
118,'2020/05/08 16:20:01:697',1,58.57933,80.814316,87.035942,81.915466,66.194458,1,0
119,'2020/05/08 16:20:01:717',1,58.317379,81.741684,87.708611,82.34304,66.49646,1,0
120,'2020/05/08 16:20:01:733',1,57.992477,82.610611,88.175659,82.746933,66.806526,1,0
121,'2020/05/08 16:20:01:749',1,57.695389,82.990982,88.41983,83.253128,67.094482,1,0
122,'2020/05/08 16:20:01:765',1,57.564178,83.106117,88.505928,83.460709,67.256516,1,0
123,'2020/05/08 16:20:01:781',1,57.053989,83.2733,89.07766,83.905251,67.593605,1,0
124,'2020/05/08 16:20:01:797',1,56.646793,83.35762,89.592896,84.146584,67.876381,1,0
125,'2020/05/08 16:20:01:817',1,56.328983,83.440216,90.064079,84.246086,68.122627,1,0
126,'2020/05/08 16:20:01:833',1,56.094833,83.519783,90.700287,84.27446,68.61261,1,0
127,'2020/05/08 16:20:01:849',1,56.02116,83.58448,91.086693,84.276192,68.853516,1,0
128,'2020/05/08 16:20:01:865',1,56.019932,83.612679,91.194267,84.225723,68.899849,1,0
129,'2020/05/08 16:20:01:885',1,55.990978,83.683945,90.992882,83.708496,68.880836,1,0
130,'2020/05/08 16:20:01:897',1,55.976135,83.7043,90.680824,83.624527,68.858955,1,0
131,'2020/05/08 16:20:01:917',1,55.951099,83.74128,90.462509,83.527512,68.849358,1,0
132,'2020/05/08 16:20:01:933',1,55.945835,83.773506,90.373795,83.288826,68.863609,1,0
